,score
1030,116.8
1031,125.75
1032,127.55
1033,138.75
1034,142.8
1035,141.55
1036,151.35
1037,150.15
1038,152.65
1039,158.1
1040,157.8
1041,153.8
1042,159.8
1043,171.75
1044,173.6
1045,173.95
1046,178.95
1047,171.75
1048,172.95
1049,181.3
1050,182.7
1051,179.2
1052,189.75
1053,185.4
1054,190.5
1055,192.45
1056,188.45
1057,189.75
1058,191.45
1059,194.1
1060,194.4
1061,195.0
1062,195.1
1063,193.4
1064,200.1
1065,194.75
1066,204.45
1067,211.15
1068,220.9
1069,213.9
1070,222.4
1071,228.0
1072,218.4
1073,211.95
1074,200.65
1075,196.75
1076,190.5
1077,188.2
1078,180.85
1079,166.15
1080,161.9
1081,155.3
1082,146.75
1083,137.0
1084,127.45
1085,126.7
1086,124.45
1087,122.55
1088,119.3
1089,115.3
1090,109.2
1091,107.8
1092,112.0
1093,117.7
1094,116.65
1095,121.9
1096,119.6
1097,120.25
1098,120.65
1099,132.75
1100,137.15
1101,140.95
1102,151.25
1103,154.15
1104,154.6
1105,149.35
1106,138.2
1107,137.9
1108,127.7
1109,133.3
1110,128.75
1111,117.9
1112,110.15
1113,109.65
1114,116.1
1115,112.05
1116,112.15
1117,112.7
1118,116.05
1119,104.5
1120,101.15
1121,97.35
1122,88.7
1123,83.55
1124,79.85
1125,80.2
1126,78.25
1127,68.8
1128,69.9
1129,64.1
1130,62.45
1131,62.6
1132,62.4
1133,59.8
1134,53.15
1135,51.75
1136,50.7
1137,51.55
1138,48.3
1139,51.75
1140,49.2
1141,51.45
1142,45.85
1143,49.35
1144,47.95
1145,50.6
1146,50.9
1147,50.25
1148,48.5
1149,45.7
1150,51.25
1151,52.25
1152,50.25
1153,46.1
1154,46.95
1155,42.9
1156,40.75
1157,40.35
1158,39.0
1159,35.6
1160,40.55
1161,40.0
1162,41.65
1163,37.3
1164,36.25
1165,32.6
1166,30.25
1167,34.15
1168,36.55
1169,41.0
1170,36.45
1171,35.4
1172,35.4
1173,38.4
1174,40.3
1175,44.45
1176,43.6
1177,41.5
1178,40.7
1179,42.55
1180,36.75
1181,40.85
1182,42.75
1183,47.95
1184,50.0
1185,49.8
1186,56.0
1187,66.15
1188,68.5
1189,72.25
1190,75.45
1191,74.35
1192,75.0
1193,71.35
1194,70.85
1195,69.15
1196,69.15
1197,69.6
1198,71.1
1199,69.5
1200,73.65
1201,73.1
1202,76.2
1203,88.7
1204,94.0
1205,98.95
1206,102.5
1207,96.25
1208,102.15
1209,104.1
1210,110.9
1211,117.85
1212,125.6
1213,141.55
1214,145.8
1215,152.75
1216,164.0
1217,166.05
1218,167.05
1219,179.65
1220,188.65
1221,189.9
1222,188.4
1223,176.45
1224,172.05
1225,180.3
1226,179.85
1227,181.6
1228,183.25
1229,178.15
1230,180.65
1231,186.55
1232,185.95
1233,174.8
1234,178.8
1235,174.35
1236,169.1
1237,170.8
1238,169.1
1239,158.25
1240,146.9
1241,142.2
1242,141.7
1243,136.95
1244,137.15
1245,124.95
1246,119.65
1247,110.9
1248,99.2
1249,96.15
1250,89.25
1251,77.85
1252,70.7
1253,68.4
1254,60.35
1255,55.4
1256,51.4
1257,46.4
1258,47.25
1259,51.1
1260,52.8
1261,53.95
1262,52.55
1263,64.25
1264,63.0
1265,65.2
1266,65.5
1267,67.55
1268,76.5
1269,75.5
1270,72.35
1271,72.9
1272,80.6
1273,82.9
1274,81.45
1275,82.45
1276,85.1
1277,89.8
1278,93.0
1279,91.0
1280,92.2
1281,101.15
1282,99.1
1283,95.3
1284,98.1
1285,99.2
1286,99.8
1287,110.7
1288,108.45
